"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","215","US-11: Фильтр по nome (case-insensitive)","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.UsuariosControllerTest","com.serverest.controllers.UsuariosControllerTest","shouldFilterByNomeCaseInsensitive"
"","73","US-03: Создание без обязательного поля email","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.UsuariosControllerTest","com.serverest.controllers.UsuariosControllerTest","shouldReturn400ForMissingEmail"
"","299","shouldCreateCartWithValidQuantidade(int) CR-BVA-03,04,05","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.CarrinhosControllerTest","com.serverest.controllers.CarrinhosControllerTest","shouldCreateCartWithValidQuantidade"
"","300","CR-04: Дубликат idProduto внутри одного запроса","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.CarrinhosControllerTest","com.serverest.controllers.CarrinhosControllerTest","shouldReturn400ForDuplicateProductInCart"
"","210","shouldReturn400ForInvalidPrecoOnUpdate(int) PR-10..11","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldReturn400ForInvalidPrecoOnUpdate"
"","176","PR-21: Удаление товара без токена","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldReturn401ForDeleteWithoutToken"
"","60","PR-05: Пользователь без прав админа не может создать товар","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldReturn403ForNonAdminCreate"
"","259","US-01: Создание пользователя с уникальным email","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.UsuariosControllerTest","com.serverest.controllers.UsuariosControllerTest","shouldCreateUserSuccessfully"
"","184","PR-16: Обновление товара без прав админа","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldReturn403ForNonAdminUpdate"
"","247","PR-12: Обновление с quantidade = -1","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldReturn400ForNegativeQuantidadeOnUpdate"
"","174","PR-07: Создание товара с просроченным токеном","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldReturn401ForExpiredTokenCreate"
"","344","US-08: PUT с email, занятым другим пользователем","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.UsuariosControllerTest","com.serverest.controllers.UsuariosControllerTest","shouldReturn400ForPutWithTakenEmail"
"","634","US-05: Удаление пользователя с активной корзиной запрещено","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.UsuariosControllerTest","com.serverest.controllers.UsuariosControllerTest","shouldReturn400ForDeleteUserWithActiveCart"
"","228","PR-14: Обновление товара без токена","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldReturn401ForUpdateWithoutToken"
"","175","US-06: Удаление пользователя без корзины","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.UsuariosControllerTest","com.serverest.controllers.UsuariosControllerTest","shouldDeleteUserWithoutCartSuccessfully"
"","1487","CR-05: concluir-compra — товар остаётся списанным","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.CarrinhosControllerTest","com.serverest.controllers.CarrinhosControllerTest","shouldKeepStockDecreasedAfterConcludePurchase"
"","155","CR-03: Создание корзины с несуществующим idProduto","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.CarrinhosControllerTest","com.serverest.controllers.CarrinhosControllerTest","shouldReturn400ForNonExistentProduct"
"","542","CR-07: Проверка precoTotal","","2026-07-24","failed","2026-07-24","","com.serverest.controllers.CarrinhosControllerTest","com.serverest.controllers.CarrinhosControllerTest","shouldCalculatePrecoTotalCorrectly"
"","293","shouldCreateCartWithValidQuantidade(int) CR-BVA-03,04,05","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.CarrinhosControllerTest","com.serverest.controllers.CarrinhosControllerTest","shouldCreateCartWithValidQuantidade"
"","157","CR-09: cancelar-compra без корзины","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.CarrinhosControllerTest","com.serverest.controllers.CarrinhosControllerTest","shouldCancelPurchaseWithoutCart"
"","535","CR-06: cancelar-compra — товар возвращается на склад","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.CarrinhosControllerTest","com.serverest.controllers.CarrinhosControllerTest","shouldRestoreStockAfterCancelPurchase"
"","245","PR-24: Фильтрация товаров по quantidade","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldFilterByQuantidade"
"","942","PR-23: Фильтрация товаров по preco","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldFilterByPreco"
"","315","shouldReturn400ForInvalidQuantidade(int) CR-BVA-01,02,06","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.CarrinhosControllerTest","com.serverest.controllers.CarrinhosControllerTest","shouldReturn400ForInvalidQuantidade"
"","172","PR-20: Удаление товара без прав админа","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldReturn403ForNonAdminDelete"
"","457","PR-18: Нельзя удалить товар в активной корзине","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldReturn400ForDeleteProductInActiveCart"
"","217","PR-17: PUT на несуществующий ID создаёт новый товар","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldCreateNewProductOnPutWithNonExistentId"
"","227","PR-22: Удаление товара с просроченным токеном","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldReturn401ForExpiredTokenDelete"
"","138","CR-08: concluir-compra без корзины","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.CarrinhosControllerTest","com.serverest.controllers.CarrinhosControllerTest","shouldCompletePurchaseWithoutCart"
"","216","PR-01: Админ создаёт товар","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldCreateProductByAdmin"
"","218","US-02: Дубликат email запрещён","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.UsuariosControllerTest","com.serverest.controllers.UsuariosControllerTest","shouldReturn400ForDuplicateEmail"
"","55","US-04: Создание с administrador=yes (невалидное значение)","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.UsuariosControllerTest","com.serverest.controllers.UsuariosControllerTest","shouldReturn400ForInvalidAdministradorValue"
"","214","shouldReturn400ForInvalidPrecoOnUpdate(int) PR-10..11","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldReturn400ForInvalidPrecoOnUpdate"
"","394","CR-01: Создание корзины — остаток уменьшается","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.CarrinhosControllerTest","com.serverest.controllers.CarrinhosControllerTest","shouldDecreaseStockAfterCartCreation"
"","76","shouldReturn400ForInvalidPrecoOnCreate(int) PR-02..03","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldReturn400ForInvalidPrecoOnCreate"
"","70","shouldReturn400ForInvalidPrecoOnCreate(int) PR-02..03","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldReturn400ForInvalidPrecoOnCreate"
"","741","E2E-04: Жизненный цикл: создание корзины -> покупка -> удаление пользователя","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.E2eControllerTest","com.serverest.controllers.E2eControllerTest","shouldDeleteUserAfterCompletePurchase"
